city_ascii,state_id,state_name,lat,lng,population
Liberal,KS,Kansas,37.0466,-100.9295,19025
Seabrook,MD,Maryland,38.9802,-76.8502,19020
Highland,UT,Utah,40.4276,-111.7957,19012
Rosedale,CA,California,35.3886,-119.2058,19003
Fox Crossing,WI,Wisconsin,44.2228,-88.4763,19001
Troy,AL,Alabama,31.8021,-85.9664,18995
Altamont,OR,Oregon,42.198,-121.7248,18982
Cimarron Hills,CO,Colorado,38.8597,-104.6995,18981
Stevenson Ranch,CA,California,34.3894,-118.5883,18980
Lexington,NC,North Carolina,35.8018,-80.2682,18970
Ronkonkoma,NY,New York,40.8037,-73.1246,18953
Wallingford Center,CT,Connecticut,41.4499,-72.8189,18948
Whitehall,OH,Ohio,39.9682,-82.8833,18944
World Golf Village,FL,Florida,29.9654,-81.4896,18937
Westbrook,ME,Maine,43.6954,-70.3539,18935
Shelbyville,IN,Indiana,39.5352,-85.7793,18918
Altoona,IA,Iowa,41.6483,-93.4783,18917
North Amityville,NY,New York,40.7005,-73.4119,18890
Claremore,OK,Oklahoma,36.3146,-95.6095,18875
Bellaire,TX,Texas,29.704,-95.4621,18862
Alice,TX,Texas,27.7556,-98.0653,18859
Newton,KS,Kansas,38.0368,-97.3449,18846
Franklin Farm,VA,Virginia,38.9133,-77.3969,18845
Alsip,IL,Illinois,41.6701,-87.7368,18843
Onalaska,WI,Wisconsin,43.8883,-91.2075,18814
Madisonville,KY,Kentucky,37.3409,-87.5034,18801
Bellwood,IL,Illinois,41.8829,-87.8762,18799
Farmington,MO,Missouri,37.7822,-90.4282,18792
Jacksonville,IL,Illinois,39.7292,-90.2317,18784
Seminole,FL,Florida,27.8435,-82.784,18772
Hawthorne,NJ,New Jersey,40.9579,-74.1582,18762
Twinsburg,OH,Ohio,41.322,-81.4451,18754
Ottawa,IL,Illinois,41.3555,-88.8261,18742
Woodcrest,CA,California,33.8789,-117.3687,18719
Berea,OH,Ohio,41.3696,-81.8641,18713
North Valley Stream,NY,New York,40.684,-73.7077,18712
Country Walk,FL,Florida,25.633,-80.4353,18710
Ansonia,CT,Connecticut,41.3443,-73.0689,18709
Point Pleasant,NJ,New Jersey,40.0772,-74.0702,18686
Willimantic,CT,Connecticut,41.7171,-72.2114,18669
Augusta,ME,Maine,44.3341,-69.7319,18662
Cedar Mill,OR,Oregon,45.5355,-122.8006,18661
Homewood,IL,Illinois,41.5591,-87.661,18656
Westminster,MD,Maryland,39.5796,-77.0067,18649
Central Point,OR,Oregon,42.3764,-122.9111,18648
Cortland,NY,New York,42.6004,-76.1784,18633
Culpeper,VA,Virginia,38.4704,-78.0001,18633
Forest Park,OH,Ohio,39.2861,-84.5258,18632
Helena,AL,Alabama,33.2837,-86.8791,18631
Imperial,CA,California,32.839,-115.572,18631
Creve Coeur,MO,Missouri,38.662,-90.443,18627
Brushy Creek,TX,Texas,30.5128,-97.7386,18593
Mayfield Heights,OH,Ohio,41.5174,-81.4534,18586
Holtsville,NY,New York,40.8124,-73.0447,18574
East Massapequa,NY,New York,40.6742,-73.4359,18564
Lake Ronkonkoma,NY,New York,40.8297,-73.1128,18555
Brownwood,TX,Texas,31.7127,-98.9767,18554
Rancho Mirage,CA,California,33.7635,-116.4271,18537
Altus,OK,Oklahoma,34.6565,-99.3061,18533
Thomasville,GA,Georgia,30.8394,-83.9782,18530
Milledgeville,GA,Georgia,33.0874,-83.2414,18526
Lake Shore,MD,Maryland,39.103,-76.4876,18523
Merrifield,VA,Virginia,38.8731,-77.2426,18523
Concord,MO,Missouri,38.5117,-90.3574,18521
Winchester,KY,Kentucky,38.0018,-84.1908,18520
Brookfield,IL,Illinois,41.8245,-87.847,18520
Durant,OK,Oklahoma,33.9949,-96.3923,18516
Terrell,TX,Texas,32.734,-96.2931,18513
Brook Park,OH,Ohio,41.4036,-81.8219,18486
Castaic,CA,California,34.4818,-118.6316,18479
Orange,TX,Texas,30.1226,-93.7607,18458
Fairmont,WV,West Virginia,39.4768,-80.1491,18443
Chowchilla,CA,California,37.1095,-120.2349,18443
Sartell,MN,Minnesota,45.6188,-94.2206,18439
Hybla Valley,VA,Virginia,38.7484,-77.0821,18438
Gautier,MS,Mississippi,30.4106,-88.6568,18436
Niles,OH,Ohio,41.1879,-80.7531,18429
Springboro,OH,Ohio,39.5615,-84.2348,18416
Laurel,MS,Mississippi,31.6956,-89.1449,18403
Hopkins,MN,Minnesota,44.9259,-93.4056,18400
St. John,IN,Indiana,41.4429,-87.4697,18382
Rutherford,NJ,New Jersey,40.8203,-74.1057,18376
Cameron Park,CA,California,38.6738,-120.9872,18370
White Oak,OH,Ohio,39.2106,-84.606,18351
St. Marys,GA,Georgia,30.7567,-81.5722,18321
Harrison,NJ,New Jersey,40.7431,-74.1531,18313
Eloy,AZ,Arizona,32.747,-111.5992,18306
Preakness,NJ,New Jersey,40.9382,-74.2242,18300
Menasha,WI,Wisconsin,44.2125,-88.4271,18280
Schofield Barracks,HI,Hawaii,21.4936,-158.0617,18276
Bensenville,IL,Illinois,41.9579,-87.9442,18273
Hyattsville,MD,Maryland,38.9613,-76.9548,18267
Arcata,CA,California,40.8615,-124.0758,18266
San Carlos Park,FL,Florida,26.4765,-81.8193,18256
North Massapequa,NY,New York,40.7031,-73.4678,18239
Round Lake,IL,Illinois,42.3435,-88.1059,18235
Marshfield,WI,Wisconsin,44.6627,-90.1728,18214
Trenton,MI,Michigan,42.1394,-83.1929,18214
Cudahy,WI,Wisconsin,42.9467,-87.8641,18211
Pecan Grove,TX,Texas,29.6235,-95.733,18204
Burlington,KY,Kentucky,39.0223,-84.7217,18203
Newburyport,MA,Massachusetts,42.8124,-70.8878,18197
Maumelle,AR,Arkansas,34.8522,-92.4,18193
Nipomo,CA,California,35.0319,-120.4985,18182
Buckhall,VA,Virginia,38.7239,-77.4476,18116
Upper Grand Lagoon,FL,Florida,30.169,-85.7407,18114
Hurricane,UT,Utah,37.1487,-113.3517,18112
Manchester,MO,Missouri,38.583,-90.5064,18102
Idylwood,VA,Virginia,38.8896,-77.2056,18099
North Aurora,IL,Illinois,41.8086,-88.3414,18089
North Druid Hills,GA,Georgia,33.8185,-84.3254,18074
